№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
115,Хоразм архитектура лойиха курилиш,ХК,206771109,"220100. Хоразм вилоят Урганч шаҳар  Ал-Хоразмий,23",Машарипов А,,,,,,,,,,,,, Хоразм,,Урганч шаҳар
116,TEXNIKAUDITLOYIHA,МЧЖ,205203853,"100059.Тошкент шаҳар У.Носир,100",Каримов Х, 189-79-08 280-55-32,,,,,,,,,,,,,,Тошкент шаҳар
117,INJENERING,ХТИЧФ,202477468,111900. Тошкент вилоят Юқори Чирчиқ туман,Абдурахманов Абдумажид, 334-39-56 98-31-410,,,,,,,,,,,,Тошкент,Юқори Чирчиқ,
118,GEO-INFORM,МЧЖ,200830007,"100011.Тошкент шаҳар Навоий,2а",Магрупова Ижобат, 150-17-66 150-17-67,,,,,,,,,,,,,,Тошкент шаҳар
119,Классик архитектура-Сервис,ХК,300772488,"130116. Жиззах вилоят Жиззах шаҳар Ш.Рашидов,128а ",Қўлдошев Бердикул, 366-49-21,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
120,МЫСЛЬ,ХК,201774732,"130180. Жиззах вилоят Жиззах шаҳри Азизбекова,1",Абулыосимова Кумри, 224-06-92 227-83-26,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
121,MALEKA,МЧЖ,201012983,"100077. Тошкент шаҳар Арнасой,4а",Захарова Валентина Петровна, 127-80-79 253-87-35 +99893 563-20-35 336-87-10,,,,,,,,,,,,,,Тошкент шаҳар
122,АНДИЖОНФУКАРОЛОЙИХА,МЧЖ,200240242,"170026. Андижон вилоят Андижон шаҳар Бобур Шоҳ, 2.",Мирзаев Обоқул, 224-08-21 224-04-82 224-03-60 253-03-60 +99890 216-90-17,,,,,,,,,,,,Андижон,,Андижон шаҳар
123,ART MODERN,МЧЖ,205822946,"Тошкент шаҳар Лисинова,4-2-62",Қосимов А.А. Эшмуротов Артур Алексеевич, +99890 346-36-51 277-63-79,,,,,,,,,,,,,,Тошкент шаҳар
124,ТУРОН-2000,ХК,203296843,"171219. Андижон вилоят Избоскан туман Тўрткўл қишлоғи Зуннунова,13",Қосимов Нумон, 996-21-07 +998745890561 ,,,,,,,,,,,,Андижон,Избоскан,Тўрткўл қишлоғи
125,NAVOIYSHAHARSOZLIK LOYIHALASH INCTITUTI,МЧЖ,200850583,"210100. Навоий вилоят Навоий шаҳар А.Темур,4",Худойбердиев Зиёдулло, 0436 224-40-78 717-14-80,,,,,,,,,,,,Навоий,,Навоий шаҳри
126,NUROFSHON ELEKTR SERVIS,МЧЖ,300895477,"171400. Андижон вилоят Андижон шаҳар Северний мирорайон,10-11",Комилов Қахрамон Шухрат, 74-271-48-76,,,,,,,,,,,,Андижон,,Андижон шаҳар
127,ИНТЕГРАЛ ЛОЙИХА ҚУРИЛИШ,КК,206784219,"150100. Фарғона вилоят Фарғона шаҳар  Қорий Ниёзий,26а",Мирзаев Вохобжон, 224-17-74 277-24-20,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
128,TERMEZ MODERN PROEKT,МЧЖ,200478278,"Сурхондарё вилояти, Термиз шаҳри, Голованова кўчаси, 103“Е” - уй",Набиев Обид,223-13-94 242-50-31,,,,,,,,,,,,Сурхондарё,,Термиз  шаҳар
129,ХОРАЗМ ЭКСПЕДИЦИЯСИ ЛОЙИХА КИДИРУВ,МЧЖ,201727844,"220100. Хоразм вилоят Урганч шаҳар Хива,56",Алимов Атаназар, 227-34-08 512-16-52,,,,,,,,,,,, Хоразм,,Урганч шаҳар
130,OZIQOVKAT TEXNOLOGIYA,МЧЖ,200796982,"Тошкент шаҳар Шайхонтохур туман Шайхонтохур,1-4-302",Шукуров Бахтиёр," 241-76-16 175-44-23,  90-320-77-76",,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳар
131,Қувасой Қурилиш савдо,ХК,205872212,"150901. Фарғона вилоят Қувасой шаҳар Мустақиллик,78",Давронов Абдуманноп, 373-28-61 301-67-34,,,,,,,,,,,,Фарғона,,Қувасой шаҳар
132,VODIY INDUSTRIYA QURILISH SERVIS,МЧЖ,206961512,"160100. Наманган вилоят Наманган шаҳар Косонсой,27а",Муродуллаев Хамидхон, 226-44-80 254-33-63,,,,,,,,,,,,Наманган,,Наманган шаҳар
133,ASR BARAKA SERVIS,МЧЖ,206923409,"160103. Наманган вилоят Наманган шаҳар Шимолий айланма йўли, 40",Абидов Миразиз, 233-68-36 271-44-58,,,,,,,,,,,,Наманган,,Наманган шаҳар
134,VODIYGAZTA’MINOT,ХК,206776385,"160101. Наманган вилоят Наманган шаҳар К.Отамирзаев,23",Хамраев Илхом, 226-21-51 704-74-03,,,,,,,,,,,,Наманган,,Наманган шаҳар
135,NATIJALI,МЧЖ,202409581,"100060.Тошкент шаҳар Истикбол,34",Василев Анатолий, 111-67-43,,,,,,,,,,,,,,Тошкент шаҳар
136,SAM MBI EKSPERTIZA,МЧЖ,300072844,140163. Самарқанд вилоят Самарқанд шаҳар пос.Фарход Промзона,Саттаров Икром, 225-09-97 226-65-60,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
137,MAORIF PLUS,МЧЖ,202007085,"100017 Тошкент шаҳар А.Темур,25",Бобров Алексей, 233-63-46 233-01-45 167-10-93,,,,,,,,,,,,,,Тошкент шаҳар
138,Архитектура –сервис,МЧЖ,205264952,"Жиззах вилоят Жиззах шаҳри Ш.Рашидов Шох,100",Мавтанов Асад, 222-32-58 72-572-14-27,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
139,"LOYIHALASH, EKSPERTIZA VA BAHOLASH",ШК,205257271,"100011.Тошкент шаҳар Навоий,18а",Саттарова Насиба, 241-85-90 167-72-73,,,,,,,,,,,,,,Тошкент шаҳар
140,ГАММА ПРОЕКТ,МЧЖ,206817752,"161100. Наманган вилоят Чуст шаҳар Фаёзов,9",Хошимов Хакимжон, 42-35-710 212-02-93,,,,,,,,,,,,Наманган,,Чуст шаҳар
141,ARXITEKTOR,МЧЖ,200823766,"100060.Тошкент шаҳар Нукус,23а",Кадирова Любов Григорян Сергеё Арамович, 233-24-96 +99890 185-32-65,,,,,,,,,,,,,,Тошкент шаҳар
142,TOSHKENT ENGINEERING,МЧЖ,206271209,"100011.Тошкент шаҳар Навоий,30",Косберганов Ахмаджон, 221-97-20 8-361-221-97-20,,,,,,,,,,,,,,Тошкент шаҳар
143,TORSVIK MNM,МЧЖ,200982926,"100170.Тошкент шаҳар Абдуллаева,73",Дублевич М, 237-62-48 237-62-58,,,,,,,,,,,,,,Тошкент шаҳар
144,TEKTONIKA SILKROAD,МЧЖ,206260704,"Тошкент шаҳар Чилонзор туман 9-мавзе Қатортол,1/1",Абсайитов Ш,  276-24-58 905-50-89,,,,,,,,,,,,,,Тошкент шаҳар
145,AERO-YO’L LOYIHA,МЧЖ,205772660,"100000.Тошкент шаҳар Мустақиллик Шох,68а",Рахимов Амонгелди, 281-32-28 325-93-75 1472829 ,,,,,,,,,,,,,,Тошкент шаҳар
146,Фаргонасувлойиха,МЧЖ,200153445,"Фарғона вилоят Фарғона шаҳар Аль-Фарғоний,72",Боходир. Шаропов,  91-679-89-55 ,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
147,GALAOSIYOLOYIXA,ИИЧК,300518699,"Бухоро вилоят Когон шаҳар Зебинисо,2",Хамраев Самад, 542-31-10 718-03-33 ,,,,,,,,,,,,Бухоро,,Когон шаҳар
148,BUXORO ME'MOR QURILISH PLYUS,МЧЖ,300765962,"Бухоро вилоят Бухоро шаҳар Навоий Шоҳ,5",Хикматов С, +998907127333 223-52-51 83654767787,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
149,ЎЗ НУР,ХК,200133224,"150712. Фарғона вилоят Қўқон шаҳри Навоий,75а",Ходжаев Азизхон, 554-60-28 552-03-13,,,,,,,,,,,,Фарғона,,Қўқон шаҳар
150,ZIYOLI-LOYIHA,ХК,205636393,"160130. Наманган вилоят Наманган шаҳар 5а кичик нохия Ғалаба,18",Пронина Нина Абдулатипов Сулаймон Хасанович, 232-38-75 +99893 264-28-00,,,,,,,,,,,,Наманган,,Наманган шаҳар
151,QUALITY PLANNING,МЧЖ,300287196,"100000. Тошкент шахри Мустақиллик кўчаси,68а",Краснова Татяна, 233-88-90 236-05-86 443-77-46 434-92-99,,,,,,,,,,,,,,Тошкент шаҳар
152,KO’PRIK,ХК,203605694,"110821. Тошкент вилоят Янгийўл шаҳар У.Юсупов,55",Бахриддинов Аброрхўжа Холходжаевич, +99897 460-54-53,,,,,,,,,,,,,,Тошкент шаҳар
153,LYUKS LOYIHA,МЧЖ,201701861,"100003.Тошкент шаҳар Т.Тўла 2-берк кўча,6",Усмонов Зохид, 704-99-15 ,,,,,,,,,,,,,,Тошкент шаҳар
154,Argos Ltd,МЧЖ,203576613,"100000.Тошкент шаҳар Асака,52",Фарук Тигли,237-36-44 237-52-45ф,,,,,,,,,,,,,,Тошкент шаҳар
155,Азимут Проекция,ХК,300617299,120300. Жиззах вилоят Арнасой туман Ғ.Ғулом 17/1,Хамроев Барат, 325-66-83 372-11-41 ,,,,,,,,,,,,Жиззах,Арнасой,
156,Нахшаб газ лойиха,МЧЖ,300925984,"180106. Қашқадарё вилоят Қарши шаҳар Ўзбекистон овози газетаси,6",Нуриллаева Холида,,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
157,ART-KAMALAK,ХК,205669280,"220100. Хоразм вилоят Урганч шаҳар Буюк ипак йўли,40",Байджанов А Саидова У., 227-42-57 227-43-74,,,,,,,,,,,, Хоразм,,Урганч шаҳар
158,Хоразм лойиха курилиш,корхона,205235552,"220100. Хоразм вилоят Урганч шаҳар Аль-Хоразмий,23",Рахимов Раимбой, 518-68-16 +998941125860,,,,,,,,,,,, Хоразм,,Урганч шаҳар
159,ROMARTUZ,МЧЖ,205538333,"100173.Тошкент шаҳар Боғистон,22",Череменский А.С. ,303-77-02 303-02-68,,,,,,,,,,,,,,Тошкент шаҳар
160,MIKAZ PROEKT,МЧЖ,206223432,"100100.Тошкент шаҳар Аския,29",Зюзин Константин, 253-62-78 253-61-07 155-82-29,,,,,,,,,,,,,,Тошкент шаҳар
161,LOYIHA MASLAHAT,ХК,203112786,"100000.Тошкент шаҳар Ниёзбек йўли,1","Ниёзходжаев Пархад, Япаров Марат", 234-52-87 353-08-78   388-07-59,,,,,,,,,,,,,,Тошкент шаҳар
162,TA’MIR-IJODIY USTAXONA,ШК,204339874,100027.Тошкент шаҳар Бунёдкор кўчаси Абул Қосим мадрасаси,Яхъяев Абдужаббор Ғаниевич, 245-17-00 +99894 620-21-33,,,,,,,,,,,,,,Тошкент шаҳар
163,ANDIJON AYBIL,ХК,300883437,"170100. Андижон вилоят Андижон шаҳар А.Фитрат,7",Алимова Г, 255-97-39 226-61-86,,,,,,,,,,,,Андижон,,Андижон шаҳар
164,KARAAL  ENGINEERING,МЧЖ,300410977,"100178.Тошкент шаҳар Юнусов,3",Катеренко О.К, 228-82-17 228-82-15,,,,,,,,,,,,,,Тошкент шаҳар
165,Ал меъмор-А,МЧЖ,201082011,"130000. Фарғона вилоят Қўқон шаҳар А.Т.Хуқандий, 130",Ахмедов Ахад, 501-52-52,,,,,,,,,,,,Фарғона,,Қўқон шаҳар
166,ZERA-STUDIO-A,МЧЖ,206691840,"100125.Тошкент шаҳар Т.Малик, 1а-16 ",Сагидуллаева Дилфуза, 129-00-12 +99890 323-21-18,,,,,,,,,,,,,,Тошкент шаҳар
167,AND TEX-NAZ,МЧЖ,204592206,"170111. Андижон вилоят Андижон шаҳар Саноат, 241а",Сотволдиев Зухриддин, 224-84-31 94-108-90-06,,,,,,,,,,,,Андижон,,Андижон шаҳар
168,NAVOIYFUQAROLOYIHA,МЧЖ,201425224,"Навоий вилояти, Навоий шаҳри, Ғалаба кўчаси, 216-С",Мухитдинов Мавзиддин, 226-01-25 Ooo_ngproekt@ mail.ru,,,,,,,,,,,,Навоий,,Навоий шаҳар
169,ТАЪМИРЛОЙИХА,МЧЖ,200230698,"170100. Андижон вилоят Андижон шаҳар Миллий тикланиш,36",Арзиқулов Хакимжон, 224-89-88 272-19-64,,,,,,,,,,,,Андижон,,Андижон шаҳар
170,ARXITEKTURA DIZAYN,ЛИЧК,204748800,"170100. Андижон вилоят Андижон шаҳар Миллий тикланиш,36",Буронов Маннопжон, 224-89-88 275-11-09,,,,,,,,,,,,Андижон,,Андижон шаҳар
171,Олий тараққиёт,ХКТФ,204791963,"130100  Жиззах вилоят Жиззах шаҳри Беш қувур, 56",Суюнов Мамир, 326-60-65 222-45-44,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
172,Маърифат сув лойиха,ХК,300871105,150400. Фарғона вилоят Фарғона туман Водил ҚФЙ,Зайлопов Мухамадёр, 352-73-14 212-34-00,,,,,,,,,,,,Фарғона,Фарғона,Водил ҚФЙ
173,Жиззахсифат лойиха,МЧЖ,300027352,"130100. Жиззах вилоят Жиззах шаҳар Ш.Рашидов,63",Бобобеков К,,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
174,FUTURE PROJECT,МЧЖ,300700798,"100011,Тошкент шаҳар Навоий,7","Гарамов Юрий, Мухамеджанов А.Р.", 241-07-04 948-93-22  241-99-94 +99890 371-70-17,,,,,,,,,,,,,,Тошкент шаҳар
175,МАРКАЗИЙ ОСИЁ КУРИЛИШ,МЧЖ,205775474,"130109. Жиззах вилоят Жиззах шаҳри Навоий,42а",Тўрақулов Элёр, 226-60-42 295-53-90,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
176,BUXOROTA’MIRLOYIHA,МЧЖ,201514524,"200100. Бухоро вилоят Бухоро шаҳар Мустақиллик,6",Ахмедов Музаффар Мухсинович, +99890 299-00-12 +99890 712-90-23,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
177,UNIVER PRO STILE,МЧЖ,204756862,"Самарқанд вилоят Самарқанд шаҳар Исаев, 15",Тошев Собиржон, 261-38-94,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
178,ARX-DIZAYN SAN’ATI,МЧЖ,205175629,"100128.Тошкент шаҳар У.Юсупов,1а",Зоиров Шухрат, 241-26-14 241-41-44 8594 6530234 3221872,,,,,,,,,,,,,,Тошкент шаҳар
179,Навоий сув лойиха,МЧЖ,200033680,"210109, Навоий вилояти, Навоий шаҳри, Низомий кўчаси, 24а",Нурматов Нурфилло,"22,428,133,734,288",,,,,,,,,,,,Навоий,,Навоий шаҳар
180,Сирдарё вилоят лойиха ишлаб чикариш бошкармаси,МЧЖ,200323620,"120100. Сирдарё вилоят Гулистон шаҳри Халқлар дўстлиги,30",Емельянов Владимир Мирзахмедов Азизбек Абдукаримович, 225-00-72 +99891 100-09-14 ,,,,,,,,,,,,Сирдарё,,Гулистон шаҳри
181,ART PROJEKT,МЧЖ,300711372,"100011.Тошкент шаҳар, Хирмонтепа кўчаси, 3-проезд, 32 уй",Шамурзаев Рустам, 301-52-72 241-52-72,,,,,,,,,,,,,,Тошкент шаҳар
182,ФАР ЕВРОАЗСТРОЙПРОЕКТ,МЧЖ,300700229,"150100. Фарғона вилоят Фарғона шаҳар Бобур,7",Махмудов Комолхон, 211-78-90 941-78-90,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
183,Бухоро вилоят хокимлиги архитектура ва қурилиш бош бошқармаси,,201512883,"Бухоро вилоят Бухоро шаҳар Навоий,5",Давронов Гиёс, 223-32-14 223-56-02,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
